Question1,Question2,Label
What are the symptoms of diabetes? , How is diabetes diagnosed? ,1
Can stress cause headaches? , What are common headache triggers? ,1
How is heart disease diagnosed? , What are the risk factors for heart disease? ,1
What is the treatment for asthma? , How to manage asthma symptoms? ,1
Is there a cure for cancer? , What are the treatment options for cancer? ,1
What are the side effects of ibuprofen? , How to manage pain without medication? ,1
Can you prevent the flu with a vaccine? , How does the flu vaccine work? ,1
What are the risk factors for stroke? , How to prevent a stroke? ,1
How is pneumonia treated? , What are the common treatments for pneumonia? ,1
Are there early signs of Alzheimer's? , How is Alzheimer's diagnosed? ,1
How to manage stress? , What are effective stress management techniques? ,1
Can exercise help with anxiety? , What are the benefits of exercise for mental health? ,1
What are the symptoms of COVID-19? , How to prevent the spread of infectious diseases? ,1
How to lower blood pressure naturally? , What are natural ways to reduce blood pressure? ,1
Is there a link between diet and heart disease? , How does diet affect heart health? ,1
What are the common symptoms of flu? , How to differentiate between flu and cold symptoms? ,1
How to prevent the spread of infectious diseases? , What are the best practices for infection control? ,1
Is it possible to reverse diabetes? , What are the complications of diabetes? ,1
How to recognize signs of a heart attack? , What to do if you suspect a heart attack? ,1
Can allergies cause chest pain? , How to manage chest pain from allergies? ,1
How to treat a migraine headache? , What are effective treatments for migraines? ,1
Can stress trigger autoimmune diseases? , What are the types of autoimmune diseases? ,1
What is the role of cholesterol in the body? , How does cholesterol affect health? ,1
Is there a connection between obesity and diabetes? , How does obesity relate to diabetes? ,1
Can lack of sleep lead to health problems? , How to improve sleep quality? ,1
Is there a cure for the common cold? , How to manage cold symptoms? ,1
What is the recommended daily water intake? , How to stay hydrated for good health? ,1
Can certain foods cause inflammation? , What are anti-inflammatory foods? ,1
How to recognize the signs of a stroke? , What are the warning signs of a stroke? ,1
Can you prevent the spread of infectious diseases? , How to avoid getting sick? ,1
How to improve cardiovascular health? , What are the benefits of cardiovascular exercise? ,1
Is there a connection between smoking and lung cancer? , How to quit smoking? ,1
How to cope with seasonal allergies? , What are effective allergy management strategies? ,1
What is the difference between a cold and the flu? , How to differentiate between flu and cold symptoms? ,1
Is it possible to reverse the effects of high cholesterol? , How to lower cholesterol levels naturally? ,1
How to prevent the spread of foodborne illnesses? , What are the best practices for food safety? ,1
Is there a link between alcohol consumption and liver disease? , How does alcohol affect the liver? ,1
How to recognize signs of dehydration? , How to stay hydrated during hot weather? ,1
Can stress affect the immune system? , How to support a healthy immune system? ,1
How to identify symptoms of a food allergy? , What are common food allergy symptoms? ,1
How to prevent the spread of antibiotic resistance? , How do antibiotics work? ,1
Is there a connection between sleep and mental health? , How to improve mental health through sleep? ,1
Can certain foods cause heartburn? , What are common heartburn triggers? ,1
How to recognize symptoms of kidney disease? , What are common signs of kidney disease? ,1
Can anxiety cause digestive problems? , How to relieve digestive issues caused by anxiety? ,1
How to recognize signs of a heart condition? , How to perform CPR? ,1
What are the symptoms of lupus? , How to manage lupus symptoms? ,1
Is there a link between high blood pressure and stroke? , What are the complications of high blood pressure? ,1
Can stress trigger autoimmune diseases? , What are the effects of stress on the immune system? ,1
How to recognize symptoms of thyroid problems? , How to manage thyroid disorders? ,1
How to choose the right pair of shoes? , How to prevent foot problems? ,0
